EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Period2Fouls2Minutes,Period2Fouls3Minutes,Period3Fouls3Minutes,Period3Fouls4Minutes,Period4Fouls4Minutes,OnOffRtg,OnDefRtg,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,ThreePtOffReboundedPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,OffTwoPtRebounds,FTDefRebounds,SelfOReb,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Period1Fouls2Minutes,Period4Fouls5Minutes,PenaltyFg2Pct,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,BlockedCorner3,Defensive 3 Seconds Violations,Arc3PctBlocked,StepOutOfBoundsTurnovers,Charge Fouls Drawn,LongMidRangePctBlocked,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,PeriodOTFouls4Minutes,PeriodOTFouls5Minutes,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3pt And 1 Free Throw Trips,Period3Fouls5Minutes,Period2Fouls4Minutes,year
1629546,1611661313,Marine Johannes,Marine Johannes,1629546,NYL,9605.3,9,160.0,37.0,485,483,108.0,100.0,52,968,4.0,6.0,1.0,1.0,2.0,5.0,1.0,4.0,8.0,18.0,3.0,21.0,49.0,4.0,5.0,6.0,14.0,7.0,15.0,29.0,67.0,6.0,107.0,505.0,2.0,3.0,4.0,5.0,1.0,17.0,2.0,6.0,17.0,1.0,19.0,10.0,4.0,63.0,24.0,2.0,49.0,21.0,1.0,1.0,26.0,12.0,38.0,7.0,5.0,15.0,8.0,3.0,88.0,7.0,8.0,11.0,19.0,7.0,26.0,12.0,8.0,4.0,10.0,4.0,7.0,9.0,3.0,3.0,2.0,19.0,3.0,7.0,19.0,2.0,11.0,2.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,90.0,19.0,108.0,2.0,17.0,2.0,17.0,1.0,-5.0,111.75257731958764,104.55486542443064,0.7142857142857143,0.8333333333333334,0.7241379310344828,0.43283582089552236,0.8,0.35294117647058826,0.43283582089552236,0.4666666666666667,0.6666666666666666,0.6158536585365854,1.0,0.47368421052631576,0.6294117647058823,1.0625,0.475,0.8170731707317073,0.014925373134328358,0.06666666666666667,0.2,0.05555555555555555,19.08256880733945,0.5263157894736842,0.08527131782945736,0.07079646017699115,0.06306306306306306,0.07851239669421488,0.03349282296650718,0.07692307692307693,0.030303030303030304,0.08823529411764706,0.045454545454545456,0.1724137931034483,0.08974358974358974,0.02857142857142857,1.0,0.07317073170731707,0.6666666666666666,0.6666666666666666,0.75,0.06097560975609756,0.4,0.5,0.5,0.04878048780487805,0.25,0.25,1.0,0.21951219512195122,0.4444444444444444,0.47058823529411764,0.875,0.5975609756097561,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.125,1.0,0.625,0.8,0.5,0.15789473684210525,0.7368421052631579,0.42857142857142855,0.8902439024390244,0.42857142857142855,0.5173246913580247,0.46608333333333335,0.47747222222222224,0.047058823529411764,0.17647058823529413,0.014705882352941176,0.1588785046728972,0.17757009345794392,9.913333333333332,25.104477611940297,1.0,0.3333333333333333,0.6666666666666666,0.3783783783783784,0.22268041237113403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
203826,1611661317,Alyssa Thomas,Alyssa Thomas,203826,PHX,9324.2,9,155.0,-1.0,599,605,167.0,125.0,70,1204,28.0,40.0,8.0,9.0,21.0,56.0,3.0,6.0,,,,,,,,,,52.0,102.0,,,46.0,150.0,654.0,10.0,15.0,,,10.0,30.0,26.0,,,25.0,55.0,36.0,68.0,,,12.0,,,5.0,,39.0,34.0,73.0,22.0,12.0,20.0,13.0,6.0,180.0,5.0,21.0,26.0,51.0,14.0,65.0,18.0,9.0,9.0,17.0,6.0,11.0,14.0,1.0,6.0,,31.0,7.0,10.0,26.0,4.0,47.0,5.0,64.0,4.0,23.0,,1.0,,2.0,,120.0,55.0,165.0,1.0,17.0,,6.0,,14.0,109.01502504173622,108.09917355371901,0.34615384615384615,0.391304347826087,,,,,,0.5098039215686274,0.6666666666666666,0.5098039215686274,0.6666666666666666,0.5769230769230769,0.5681818181818182,0.6521739130434783,0.6395348837209303,,,0.049019607843137254,0.07142857142857142,,24.041297935103245,0.5483870967741935,0.18439716312056736,0.168,0.03875968992248062,0.17669172932330826,0.04929577464788732,0.041666666666666664,0.030303030303030304,0.22,0.13846153846153847,0.23076923076923078,0.1650485436893204,0.18181818181818182,,0.39215686274509803,0.7,0.717948717948718,0.17857142857142858,0.5490196078431373,0.375,0.40384615384615385,0.5238095238095238,0.058823529411764705,0.5,0.5,0.6666666666666666,,,,,,,,,0.6,0.8888888888888888,,,,,,,0.39215686274509803,,0.4939313725490196,0.5410909090909091,0.5210538461538461,0.19008264462809918,0.19008264462809918,,0.2,0.36666666666666664,6.03921568627451,,0.4166666666666667,0.20588235294117646,0.6666666666666666,,0.27879799666110183,10.0,13.0,15.0,9.0,4.0,3.0,2.0,2.0,4.0,4.0,11.0,1.0,1.0,1.0,11.0,4.0,1.0,0.5769230769230769,0.025,0.23529411764705882,0.05806451612903226,0.0425531914893617,0.0641025641025641,0.06666666666666667,0.06818181818181818,0.125,0.5,0.7692307692307693,,,,,,,,,,,,,,,,,,,,,,,2026
1629491,1611661321,Jessica Shepard,Jessica Shepard,1629491,DAL,8670.0,8,144.0,13.0,487,492,83.0,91.0,64,979,33.0,46.0,3.0,6.0,6.0,16.0,3.0,7.0,,1.0,,,4.0,,1.0,,1.0,42.0,69.0,,5.0,20.0,104.0,542.0,4.0,9.0,,2.0,6.0,14.0,10.0,,1.0,9.0,27.0,54.0,30.0,,,2.0,4.0,,3.0,,35.0,17.0,52.0,15.0,2.0,17.0,7.0,11.0,121.0,9.0,21.0,42.0,68.0,23.0,91.0,3.0,1.0,2.0,5.0,1.0,4.0,6.0,,1.0,,11.0,3.0,10.0,23.0,2.0,31.0,,28.0,6.0,13.0,,,,,,90.0,27.0,81.0,3.0,,,4.0,,6.0,113.96303901437372,110.16260162601627,0.6428571428571429,0.6585365853658537,,,,,,0.6086956521739131,0.4444444444444444,0.5675675675675675,0.36363636363636365,0.8181818181818182,0.611764705882353,0.5,0.84375,0.06756756756756757,,0.043478260869565216,0.0625,,17.235188509874327,0.45454545454545453,0.2896551724137931,0.27631578947368424,0.09574468085106383,0.2850678733031674,0.09734513274336283,0.10666666666666667,0.05263157894736842,0.29310344827586204,0.28125,0.30434782608695654,0.265625,0.3333333333333333,,0.6216216216216216,0.717391304347826,0.75,0.696969696969697,0.21621621621621623,0.375,0.4,0.16666666666666666,0.0945945945945946,0.42857142857142855,0.42857142857142855,1.0,0.013513513513513514,,,,0.05405405405405406,,,,0.5454545454545454,0.5,0.09090909090909091,,,,0.09090909090909091,,0.6891891891891891,,0.5228635135135135,0.5245357142857142,0.49113636363636365,0.16049382716049382,0.17105263157894737,,0.1346153846153846,0.25961538461538464,4.743478260869566,24.54,0.23076923076923078,,,,0.1704312114989733,7.0,7.0,9.0,13.0,5.0,,,1.0,3.0,6.0,4.0,,,,4.0,,3.0,0.9,0.043478260869565216,0.5555555555555556,0.09848484848484848,0.12195121951219512,0.08163265306122448,0.09523809523809523,,0.3333333333333333,0.6363636363636364,1.0,1.0,1.0,0.08333333333333333,0.09090909090909091,,,,,,,,,,,,,,,,,,,2026
1628269,1611661324,Nia Coffey,Nia Coffey,1628269,MIN,8611.0,8,144.0,56.0,424,431,65.0,66.0,51,855,12.0,15.0,1.0,3.0,2.0,4.0,2.0,5.0,2.0,9.0,,14.0,25.0,2.0,4.0,3.0,3.0,16.0,24.0,16.0,34.0,1.0,81.0,405.0,1.0,3.0,2.0,4.0,,8.0,3.0,3.0,3.0,,13.0,30.0,2.0,48.0,,,25.0,14.0,2.0,1.0,6.0,5.0,11.0,4.0,1.0,4.0,,2.0,27.0,3.0,15.0,23.0,42.0,5.0,47.0,5.0,5.0,,3.0,3.0,3.0,6.0,,,,9.0,2.0,12.0,23.0,2.0,8.0,1.0,1.0,1.0,1.0,,4.0,3.0,9.0,5.0,73.0,13.0,63.0,4.0,11.0,,15.0,1.0,23.0,108.72641509433961,93.96751740139212,0.9375,0.9375,1.0,0.47058823529411764,0.5,1.0,0.47058823529411764,0.6666666666666666,0.3333333333333333,0.6896551724137931,0.5714285714285714,1.0833333333333333,0.6982758620689655,0.5714285714285714,1.0833333333333333,0.5862068965517241,0.029411764705882353,0.08333333333333333,0.25,,13.987473903966597,0.3333333333333333,0.19008264462809918,0.13761467889908258,0.0410958904109589,0.16521739130434782,0.027932960893854747,0.0196078431372549,0.09090909090909091,0.109375,0.2619047619047619,0.3333333333333333,0.14457831325301204,0.11538461538461539,0.5555555555555556,0.25862068965517243,0.8,0.8571428571428571,1.0,0.06896551724137931,0.5,0.6666666666666666,0.5,0.08620689655172414,0.4,0.4,1.0,0.15517241379310345,0.2222222222222222,0.2222222222222222,1.0,0.43103448275862066,0.56,0.5833333333333334,1.0,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.5,1.0,,0.5,1.0,0.8448275862068966,0.56,0.5395120689655172,0.60755,0.5350583333333333,0.017241379310344827,0.041666666666666664,,0.09876543209876543,0.16049382716049382,6.208333333333333,24.052941176470586,0.3333333333333333,0.5,0.3333333333333333,0.29411764705882354,0.15330188679245282,2.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,5.0,,1.0,,,2.0,0.6666666666666666,0.06666666666666667,0.4,0.018867924528301886,,0.041666666666666664,0.02702702702702703,0.045454545454545456,1.0,0.5,0.6666666666666666,,,,,5.0,1.0,0.04,,,,,,,,,,,,,,,,2026
203827,1611661324,Natasha Howard,Natasha Howard,203827,MIN,8360.3,8,139.0,89.0,464,469,80.0,85.0,60,933,53.0,74.0,15.0,22.0,6.0,12.0,2.0,4.0,,,,,3.0,,,,1.0,61.0,90.0,,3.0,16.0,138.0,440.0,17.0,24.0,,,5.0,39.0,11.0,,1.0,8.0,22.0,76.0,46.0,,,30.0,3.0,,5.0,,22.0,9.0,31.0,6.0,3.0,12.0,4.0,6.0,71.0,10.0,13.0,19.0,36.0,29.0,65.0,10.0,6.0,4.0,13.0,4.0,9.0,20.0,1.0,4.0,3.0,33.0,4.0,20.0,32.0,1.0,42.0,3.0,31.0,5.0,15.0,,6.0,6.0,6.0,3.0,99.0,22.0,78.0,1.0,12.0,,14.0,2.0,7.0,114.00862068965517,93.81663113006395,0.6229508196721312,0.8260869565217391,,,,,,0.6777777777777778,0.7083333333333334,0.6559139784946236,0.7083333333333334,0.5833333333333334,0.6509433962264151,0.7222222222222222,0.6470588235294118,0.03225806451612903,,0.05555555555555555,,,26.17702448210923,0.3939393939393939,0.15079365079365079,0.11304347826086956,0.14084507042253522,0.13278008298755187,0.14583333333333334,0.12244897959183673,0.18181818181818182,0.20588235294117646,0.09523809523809523,0.0625,0.14772727272727273,,0.5,0.7956989247311828,0.7162162162162162,0.7681159420289855,0.6226415094339622,0.12903225806451613,0.5,0.5,0.5,0.043010752688172046,0.5,0.5,1.0,,,,,0.03225806451612903,,,,0.9166666666666666,0.6818181818181818,,,,,0.08333333333333333,,0.8279569892473119,,0.5932177419354838,0.594515,0.5314083333333334,0.14563106796116504,0.15,,0.2826086956521739,0.15942028985507245,3.317777777777778,23.53333333333333,0.2857142857142857,0.5,,0.3333333333333333,0.1724137931034483,5.0,8.0,7.0,18.0,4.0,5.0,2.0,1.0,8.0,7.0,3.0,,,,3.0,,4.0,0.6363636363636364,0.06756756756756757,0.26666666666666666,0.1487603305785124,0.17307692307692307,0.25925925925925924,0.047619047619047616,0.18518518518518517,0.06666666666666667,0.6666666666666666,0.625,,1.0,0.09090909090909091,,,,,1.0,,,,,,,,,,,,,,,2026
1641649,1611661323,Diamond Miller,Diamond Miller,1641649,CON,8321.8,10,139.0,-91.0,390,398,78.0,99.0,56,788,13.0,24.0,1.0,2.0,3.0,19.0,1.0,6.0,1.0,6.0,1.0,7.0,24.0,,4.0,,1.0,17.0,49.0,8.0,30.0,25.0,83.0,456.0,1.0,6.0,,4.0,2.0,4.0,9.0,,2.0,4.0,8.0,20.0,14.0,18.0,6.0,,24.0,7.0,10.0,1.0,6.0,3.0,9.0,3.0,,3.0,2.0,1.0,21.0,2.0,6.0,8.0,15.0,5.0,20.0,10.0,6.0,4.0,9.0,2.0,6.0,4.0,,3.0,,13.0,4.0,12.0,31.0,4.0,26.0,3.0,30.0,2.0,15.0,,1.0,,1.0,,79.0,8.0,78.0,6.0,15.0,,15.0,1.0,4.0,93.58974358974359,114.57286432160804,0.5882352941176471,0.5882352941176471,0.75,0.26666666666666666,,,0.26666666666666666,0.3469387755102041,0.16666666666666666,0.3670886075949367,0.1,0.18181818181818182,0.44623655913978494,0.18181818181818182,0.2857142857142857,0.379746835443038,0.03333333333333333,0.20408163265306123,0.2631578947368421,,23.043478260869566,0.6923076923076923,0.09302325581395349,0.09230769230769231,0.02702702702702703,0.09271523178807947,0.024390243902439025,0.03076923076923077,,0.1,0.09090909090909091,0.08333333333333333,,0.3333333333333333,,0.3037974683544304,0.5416666666666666,0.65,0.6923076923076923,0.24050632911392406,0.15789473684210525,0.21428571428571427,,0.0759493670886076,0.16666666666666666,0.2,1.0,0.0759493670886076,0.16666666666666666,0.16666666666666666,1.0,0.3037974683544304,0.2916666666666667,0.30434782608695654,0.7142857142857143,0.2,0.5,0.4,,,0.09090909090909091,0.09090909090909091,,0.6835443037974683,0.2916666666666667,0.525962658227848,0.48138333333333333,0.5058227272727273,0.16304347826086957,0.24193548387096775,,0.04819277108433735,0.0963855421686747,6.042857142857144,24.706666666666667,0.45454545454545453,0.5625,,0.22727272727272727,0.2,2.0,4.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,0.2222222222222222,0.16666666666666666,0.08333333333333333,0.022900763358778626,0.022222222222222223,0.01639344262295082,0.04,0.023255813953488372,,0.36363636363636365,0.5,,,,,,,0.041666666666666664,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,2026
1642784,1611661321,Paige Bueckers,Paige Bueckers,1642784,DAL,8187.5,8,136.0,19.0,512,517,83.0,104.0,62,1029,8.0,13.0,2.0,3.0,23.0,37.0,9.0,25.0,,3.0,,16.0,32.0,2.0,3.0,4.0,5.0,40.0,75.0,16.0,35.0,27.0,155.0,566.0,4.0,10.0,2.0,3.0,2.0,16.0,9.0,4.0,5.0,11.0,31.0,46.0,34.0,39.0,9.0,,32.0,16.0,3.0,1.0,29.0,12.0,41.0,7.0,5.0,18.0,7.0,4.0,94.0,2.0,11.0,9.0,21.0,3.0,24.0,3.0,2.0,1.0,11.0,2.0,6.0,4.0,1.0,5.0,1.0,15.0,2.0,12.0,22.0,1.0,31.0,3.0,34.0,4.0,11.0,,1.0,1.0,3.0,3.0,139.0,31.0,81.0,1.0,6.0,,6.0,,7.0,114.2578125,109.47775628626692,0.575,0.575,0.8125,0.45714285714285713,0.6666666666666666,0.8,0.45714285714285713,0.5333333333333333,0.4,0.5818181818181818,0.5384615384615384,0.7142857142857143,0.6169354838709677,0.5714285714285714,0.7045454545454546,0.3181818181818182,0.02857142857142857,0.04,0.05405405405405406,0.3333333333333333,23.72013651877133,0.7333333333333333,0.06338028169014084,0.12941176470588237,0.018867924528301886,0.0881057268722467,0.012448132780082987,0.011494252873563218,0.05263157894736842,0.03571428571428571,0.078125,0.09090909090909091,0.1388888888888889,0.07692307692307693,1.0,0.11818181818181818,0.6153846153846154,0.6153846153846154,0.5,0.33636363636363636,0.6216216216216216,0.6571428571428571,0.5217391304347826,0.22727272727272727,0.36,0.375,0.7777777777777778,0.02727272727272727,,,,0.2909090909090909,0.5,0.5,0.8125,0.23076923076923078,0.6666666666666666,0.23076923076923078,0.6666666666666666,1.0,,0.35714285714285715,0.8,0.43636363636363634,0.5,0.4512825688073394,0.43346,0.4382653846153846,0.09401709401709402,0.13414634146341464,,0.1032258064516129,0.2,10.498666666666667,25.58,0.4,0.42857142857142855,0.1875,0.3157894736842105,0.162109375,2.0,3.0,4.0,1.0,1.0,,1.0,,,1.0,7.0,2.0,1.0,,6.0,2.0,,0.4444444444444444,,0.08333333333333333,0.007407407407407408,0.024390243902439025,,,,,0.21428571428571427,0.6666666666666666,,,,,1.0,,,,3.0,0.04,2.0,,,,,,,,,,,,2026
1630996,1611661320,Rae Burrell,Rae Burrell,1630996,LAS,8167.1,8,136.0,-35.0,435,442,129.0,123.0,51,877,11.0,17.0,1.0,1.0,5.0,14.0,1.0,1.0,4.0,11.0,2.0,5.0,18.0,,1.0,2.0,9.0,17.0,32.0,9.0,29.0,11.0,72.0,517.0,2.0,3.0,,2.0,,4.0,13.0,3.0,11.0,6.0,31.0,22.0,12.0,27.0,,,18.0,5.0,6.0,,5.0,7.0,12.0,4.0,3.0,5.0,,,31.0,3.0,9.0,4.0,15.0,7.0,22.0,4.0,3.0,1.0,10.0,2.0,6.0,5.0,,4.0,1.0,15.0,3.0,8.0,21.0,1.0,17.0,4.0,13.0,1.0,4.0,,1.0,1.0,1.0,,68.0,31.0,127.0,5.0,6.0,2.0,15.0,4.0,4.0,110.80459770114943,116.96832579185521,0.6470588235294118,0.6470588235294118,1.0,0.3103448275862069,,0.2727272727272727,0.3103448275862069,0.53125,0.6666666666666666,0.5,0.4,0.5208333333333334,0.5373134328358209,0.4,0.5740740740740741,0.47540983606557374,,0.1875,0.21428571428571427,,16.59919028340081,0.6666666666666666,0.042105263157894736,0.10714285714285714,0.03614457831325301,0.07262569832402235,0.04046242774566474,0.031746031746031744,0.05,0.05555555555555555,0.04878048780487805,,0.11764705882352941,0.0625,,0.2786885245901639,0.6470588235294118,0.7857142857142857,0.45454545454545453,0.22950819672131148,0.35714285714285715,0.45454545454545453,1.0,0.01639344262295082,1.0,1.0,1.0,0.18032786885245902,0.36363636363636365,0.36363636363636365,1.0,0.29508196721311475,0.2777777777777778,0.2777777777777778,1.0,0.2,1.0,0.2,,,0.08333333333333333,0.375,0.2222222222222222,0.7540983606557377,0.2777777777777778,0.5239336065573771,0.3394333333333333,0.5328833333333333,0.0625,0.11428571428571428,,0.05555555555555555,0.4305555555555556,4.10625,24.400000000000002,0.5,0.5555555555555556,,0.25,0.296551724137931,6.0,10.0,8.0,4.0,2.0,2.0,1.0,,1.0,1.0,3.0,,,,3.0,3.0,4.0,0.6153846153846154,0.17647058823529413,0.15384615384615385,0.044444444444444446,0.06666666666666667,0.04,,0.06896551724137931,,0.4166666666666667,0.6,1.0,,,0.2,,,,,,,,1.0,0.5,,,,,,,,,,2026
1627668,1611661313,Breanna Stewart,Breanna Stewart,1627668,NYL,8023.099999999999,9,134.0,27.0,572,567,126.0,112.0,57,1139,21.0,34.0,2.0,7.0,28.0,63.0,3.0,5.0,1.0,6.0,,4.0,21.0,,1.0,1.0,7.0,52.0,102.0,5.0,27.0,50.0,169.0,601.0,3.0,13.0,,1.0,6.0,12.0,25.0,1.0,7.0,22.0,49.0,82.0,22.0,15.0,,4.0,21.0,4.0,8.0,,11.0,11.0,22.0,8.0,3.0,6.0,3.0,2.0,55.0,5.0,33.0,26.0,65.0,12.0,77.0,11.0,9.0,2.0,15.0,2.0,8.0,9.0,,7.0,1.0,24.0,7.0,9.0,22.0,3.0,57.0,,56.0,4.0,22.0,,10.0,2.0,10.0,5.0,157.0,49.0,124.0,1.0,10.0,,22.0,2.0,11.0,109.7902097902098,105.99647266313933,0.7884615384615384,0.82,1.0,0.18518518518518517,,0.14285714285714285,0.18518518518518517,0.5098039215686274,0.23076923076923078,0.46124031007751937,0.21428571428571427,0.421875,0.5454545454545454,0.34375,0.5697674418604651,0.20930232558139536,,0.0784313725490196,0.09523809523809523,,27.899686520376175,0.625,0.18571428571428572,0.2357142857142857,0.04065040650406504,0.21071428571428572,0.048582995951417005,0.01098901098901099,0.125,0.2682926829268293,0.16417910447761194,0.125,0.2376237623762376,0.23076923076923078,0.5,0.26356589147286824,0.6176470588235294,0.65625,0.7142857142857143,0.4883720930232558,0.4444444444444444,0.49122807017543857,0.8214285714285714,0.03875968992248062,0.6,0.6,1.0,0.046511627906976744,0.16666666666666666,0.16666666666666666,1.0,0.16279069767441862,0.19047619047619047,0.19047619047619047,1.0,0.5,0.2857142857142857,0.07142857142857142,,,,0.21875,0.14285714285714285,0.4728682170542636,0.19047619047619047,0.4721647286821705,0.5061899999999999,0.4582703125,0.14965986394557823,0.18333333333333332,,0.07100591715976332,0.28994082840236685,6.7,24.7,0.23076923076923078,0.20588235294117646,,0.23809523809523808,0.2202797202797203,7.0,10.0,12.0,7.0,6.0,4.0,1.0,1.0,4.0,1.0,7.0,,,8.0,7.0,,3.0,0.48,0.058823529411764705,0.375,0.056451612903225805,0.07142857142857142,0.05970149253731343,,0.06451612903225806,,0.3125,0.7,,,,,,,,1.0,,,1.0,,,3.0,2.0,,,,,,,,2026
1629497,1611661332,Marina Mabrey,Marina Mabrey,1629497,TOR,7949.8,9,132.0,-28.0,490,492,95.0,105.0,51,982,12.0,18.0,1.0,2.0,5.0,15.0,10.0,19.0,7.0,12.0,5.0,20.0,64.0,2.0,7.0,1.0,11.0,27.0,52.0,27.0,76.0,33.0,168.0,559.0,5.0,9.0,3.0,8.0,4.0,23.0,7.0,4.0,16.0,12.0,28.0,18.0,36.0,54.0,27.0,2.0,64.0,20.0,2.0,,25.0,7.0,32.0,4.0,3.0,22.0,3.0,,71.0,5.0,13.0,14.0,28.0,7.0,35.0,11.0,9.0,2.0,13.0,1.0,9.0,13.0,2.0,4.0,,26.0,4.0,7.0,24.0,2.0,38.0,2.0,37.0,3.0,10.0,3.0,3.0,3.0,3.0,,145.0,26.0,93.0,1.0,9.0,,4.0,3.0,3.0,108.3673469387755,113.6178861788618,0.3333333333333333,0.34615384615384615,0.6666666666666666,0.35526315789473684,0.375,0.25,0.35526315789473684,0.5192307692307693,0.5555555555555556,0.52734375,0.5588235294117647,0.34782608695652173,0.583916083916084,0.6052631578947368,0.4827586206896552,0.59375,,0.038461538461538464,,,30.671506352087114,0.5,0.13592233009708737,0.14772727272727273,0.042735042735042736,0.14136125654450263,0.027149321266968326,0.053763440860215055,,0.1111111111111111,0.17391304347826086,0.08333333333333333,0.14516129032258066,0.15384615384615385,,0.140625,0.6666666666666666,0.75,0.4166666666666667,0.1171875,0.3333333333333333,0.3333333333333333,0.4,0.1484375,0.5263157894736842,0.5263157894736842,0.2,0.09375,0.5833333333333334,0.5833333333333334,0.8571428571428571,0.5,0.3125,0.3125,0.6,0.11764705882352941,0.5,0.4117647058823529,0.2857142857142857,1.0,0.21739130434782608,0.4782608695652174,0.09090909090909091,0.734375,0.3125,0.4854043307086614,0.42661666666666664,0.467675,0.09420289855072464,0.1694915254237288,0.0379746835443038,0.13690476190476192,0.16666666666666666,10.2,25.681578947368422,0.16666666666666666,0.2,0.3333333333333333,0.30612244897959184,0.19387755102040816,,1.0,2.0,1.0,1.0,4.0,2.0,2.0,6.0,1.0,5.0,,,,4.0,,10.0,0.2857142857142857,0.1111111111111111,0.05263157894736842,0.009615384615384616,,,0.047619047619047616,0.05555555555555555,,0.043478260869565216,,1.0,1.0,0.09090909090909091,0.058823529411764705,,,,1.0,,,1.0,3.0,0.6,,,1.0,1.0,1.0,,,,,2026
