player,url,year,team,bref_id,nba_id,team_id,playoffs
Alex Fowler,,2026,NYL,,1643525,1611661313,0
Anneli Maley,,2026,NYL,,1630993,1611661313,0
Aubrey Griffin,,2026,NYL,,1642826,1611661313,0
Betnijah Laney-Hamilton,,2026,NYL,,204335,1611661313,0
Breanna Stewart,,2026,NYL,,1627668,1611661313,0
Han Xu,,2026,NYL,,1629566,1611661313,0
Jonquel Jones,,2026,NYL,,1627673,1611661313,0
Julie Vanloo,,2026,NYL,,1642210,1611661313,0
Leonie Fiebich,,2026,NYL,,1630142,1611661313,0
Marine Fauthoux,,2026,NYL,,1630469,1611661313,0
Marine Johannes,,2026,NYL,,1629546,1611661313,0
Pauline Astier,,2026,NYL,,1631136,1611661313,0
Raquel Carrera,,2026,NYL,,1630384,1611661313,0
Rebecca Allen,,2026,NYL,,204296,1611661313,0
Rebekah Gardner,,2026,NYL,,203822,1611661313,0
Sabrina Ionescu,,2026,NYL,,1629477,1611661313,0
Satou Sabally,,2026,NYL,,1630149,1611661313,0
Alyssa Thomas,,2026,PHX,,203826,1611661317,0
DeWanna Bonner,,2026,PHX,,201886,1611661317,0
Jovana Nogic,,2026,PHX,,1643505,1611661317,0
Kahleah Copper,,2026,PHX,,1627674,1611661317,0
Kiana Williams,,2026,PHX,,1630461,1611661317,0
Kyara Linskens,,2026,PHX,,1642768,1611661317,0
Lexi Held,,2026,PHX,,1631118,1611661317,0
Marta Suarez,,2026,PHX,,1643438,1611661317,0
Monique Akoa Makani,,2026,PHX,,1642777,1611661317,0
Natasha Mack,,2026,PHX,,1630442,1611661317,0
Noemie Brochant,,2026,PHX,,1643493,1611661317,0
Peyton Williams,,2026,PHX,,1630138,1611661317,0
Quionche Carter,,2026,PHX,,1643487,1611661317,0
Valeriane Ayayi,,2026,PHX,,204468,1611661317,0
A'ja Wilson,,2026,LVA,,1628932,1611661319,0
Brianna Turner,,2026,LVA,,1629488,1611661319,0
Chelsea Gray,,2026,LVA,,203833,1611661319,0
Chennedy Carter,,2026,LVA,,1630150,1611661319,0
Cheyenne Parker-Tyus,,2026,LVA,,204323,1611661319,0
Jackie Young,,2026,LVA,,1629498,1611661319,0
